Chrlevel	Year	ContigN50	Platform	Genome_num
yes	2022/8/1	26150.00 	HiFi	1
yes	2022/9/23	26040.00 	HiFi	1
yes	2022/3/24	26000.00 	HiFi	1
yes	2023/11/27	26000.00 	Ultra-long_ONT	1
yes	2022/6/13	25948.27 	HiFi	1
yes	2023/4/4	25935.00 	HiFi	1
yes	2023/9/14	25567.09 	HiFi	1
yes	2023/3/31	25500.00 	HiFi	1
yes	2022/10/18	25423.38 	HiFi	1
yes	2022/10/11	25400.00 	HiFi	1
yes	2023/8/4	25168.37 	HiFi	1
yes	2023/11/27	25000.00 	Ultra-long_ONT	1
yes	2022/2/3	24800.00 	HiFi	1
yes	2021/6/3	24700.00 	Other_TGS	1
yes	2023/4/25	24640.00 	Other_TGS	1
yes	2022/1/28	24630.00 	HiFi	1
yes	2023/7/11	24506.00 	HiFi	1
yes	2023/8/9	24485.00 	HiFi	1
yes	2022/6/13	24419.08 	HiFi	1
yes	2023/1/18	24390.00 	HiFi	1
yes	2021/6/17	24200.00 	Other_TGS	1
yes	2022/12/16	24188.00 	Other_TGS	1
yes	2023/10/27	24170.00 	HiFi	1
yes	2018/4/30	24000.00 	Other_TGS	1
yes	2023/2/9	23900.00 	HiFi	1
yes	2022/11/14	23810.00 	Other_TGS	1
yes	2021/12/13	23800.00 	Other_TGS	1
yes	2022/8/4	23642.62 	HiFi	1
yes	2022/3/10	23600.00 	HiFi	1
yes	2023/6/7	23512.00 	HiFi	1
yes	2023/11/24	23470.00 	HiFi	1
no	2023/12/14	23395.51 	Other_TGS	1
yes	2023/10/14	23112.57 	HiFi	1
yes	2023/12/13	23100.00 	HiFi	1
yes	2023/6/19	23100.00 	HiFi	1
yes	2023/2/21	22700.00 	Other_TGS	1
yes	2023/2/8	22687.00 	Other_TGS	1
yes	2022/6/13	22637.44 	HiFi	1
yes	2019/8/21	22600.00 	Other_TGS	1
yes	2022/12/6	22500.00 	Other_TGS	1
yes	2022/12/31	22500.00 	HiFi	1
yes	2021/9/3	22251.00 	HiFi	1
yes	2023/10/10	22190.00 	HiFi	1
yes	2022/12/1	22130.00 	HiFi	1
yes	2021/11/12	22079.00 	HiFi	1
yes	2023/9/22	21961.44 	Other_TGS	1
yes	2023/5/8	21960.00 	HiFi	1
yes	2023/3/20	21800.00 	HiFi	1
yes	2023/3/16	21722.32 	HiFi	1
yes	2023/2/1	21700.00 	Other_TGS	1
yes	2023/9/28	21630.05 	Other_TGS	1
no	2023/2/16	21597.00 	NGS	1
yes	2023/11/3	21560.00 	HiFi	1
yes	2023/3/6	21534.09 	HiFi	1
yes	2023/8/8	21444.43 	HiFi	1
yes	2022/6/28	21400.00 	HiFi	1
yes	2023/12/6	21400.00 	HiFi	1
yes	2021/10/26	21330.00 	Other_TGS	1
yes	2021/3/25	21230.00 	Other_TGS	1
yes	2021/5/21	21200.00 	Other_TGS	1
