No	ScaffoldN50	HiC	T2T
18	61076.00 	yes	yes
29	61070.66 	yes	yes
33	61040.00 	yes	yes
27	60825.65 	no	yes
18	60747.00 	no	no
22	60464.00 	yes	yes
32	60200.00 	yes	yes
27	60200.00 	No_info	yes
58	60190.00 	yes	yes
10	60143.79 	no	yes
21	60000.00 	yes	yes
29	59971.59 	yes	yes
10	59900.00 	yes	yes
10	59670.00 	yes	yes
27	59480.00 	No_info	yes
21	59341.00 	yes	yes
46	59332.94 	yes	yes
48	59300.00 	no	yes
32	59287.56 	yes	yes
33	59190.00 	yes	yes
21	59100.00 	yes	yes
46	59056.14 	yes	yes
22	58820.00 	yes	yes
32	58622.31 	yes	yes
48	58200.00 	no	yes
32	58110.60 	yes	yes
12	57960.00 	yes	yes
18	57939.00 	yes	yes
48	57900.00 	no	yes
12	57900.00 	yes	yes
32	57720.00 	yes	yes
22	57717.00 	yes	yes
10	57412.00 	yes	yes
38	57234.42 	yes	yes
27	56930.96 	no	yes
27	56930.00 	No_info	yes
20	56927.20 	yes	yes
21	56880.00 	yes	yes
46	56670.00 	yes	yes
31	56600.00 	yes	yes
32	56570.00 	no	yes
30	56380.00 	yes	yes
16	56354.00 	yes	yes
32	56240.00 	no	yes
32	56229.00 	yes	yes
32	56160.00 	yes	yes
29	56151.84 	yes	yes
22	56000.00 	yes	yes
22	55790.00 	yes	yes
6	55600.00 	yes	yes
12	55540.00 	yes	yes
10	55200.00 	yes	yes
18	55140.00 	yes	yes
32	55000.00 	yes	yes
32	54900.00 	no	yes
22	54700.00 	yes	yes
16	54547.29 	yes	yes
29	54380.00 	yes	yes
6	54151.47 	yes	yes
50	54120.00 	yes	yes
48	53950.00 	yes	yes
27	53900.00 	no	yes
12	53880.00 	yes	yes
6	53650.00 	yes	yes
27	53560.00 	No_info	yes
48	53440.00 	yes	yes
33	53350.00 	yes	yes
48	53210.00 	no	yes
21	53200.00 	yes	yes
27	53190.00 	No_info	yes
13	53150.00 	yes	yes
30	53000.00 	yes	yes
27	52930.00 	No_info	yes
16	52925.00 	yes	yes
16	52472.00 	yes	yes
29	52160.00 	yes	yes
12	52151.26 	yes	yes
13	51890.00 	yes	yes
32	51870.00 	yes	yes
22	51650.00 	yes	yes
27	51620.00 	yes	yes
6	51550.00 	yes	yes
27	51380.00 	No_info	yes
43	51109.00 	yes	yes
16	51021.19 	yes	yes
21	51020.00 	yes	yes
3	50800.00 	No_info	yes
30	50780.00 	yes	yes
32	50700.00 	yes	yes
32	50700.00 	yes	yes
50	50595.62 	yes	yes
32	50570.00 	yes	yes
27	50560.00 	No_info	yes
29	50500.00 	yes	yes
32	50490.00 	yes	yes
32	50400.00 	no	yes
57	50400.00 	yes	yes
32	50390.00 	yes	yes
32	50280.00 	yes	yes
16	50180.00 	yes	yes
46	50120.00 	yes	yes
32	50070.00 	yes	yes
50	50060.00 	yes	yes
32	50000.00 	yes	yes
32	50000.00 	yes	yes
32	49800.00 	yes	yes
12	49729.97 	yes	yes
27	49610.00 	No_info	yes
32	49510.00 	yes	yes
6	49180.00 	yes	yes
32	49109.00 	yes	yes
32	49000.00 	yes	yes
32	49000.00 	yes	yes
48	49000.00 	yes	yes
21	48811.12 	yes	yes
32	48770.00 	yes	yes
30	48760.00 	yes	yes
48	48750.00 	yes	yes
48	48700.00 	yes	yes
32	48657.00 	yes	yes
24	48580.00 	yes	yes
32	48430.00 	yes	yes
13	48300.00 	yes	yes
21	48210.00 	yes	yes
27	48190.00 	No_info	yes
33	47970.00 	yes	yes
16	47869.49 	no	yes
32	47800.00 	no	yes
59	47800.00 	yes	yes
32	47800.00 	yes	yes
21	47787.76 	yes	yes
12	47643.28 	yes	yes
30	47610.00 	yes	yes
22	47575.56 	yes	yes
9	47530.51 	No_info	yes
32	47428.48 	yes	yes
48	47300.00 	no	yes
27	47050.00 	No_info	yes
16	47020.00 	yes	yes
48	46700.00 	no	yes
33	46680.00 	yes	yes
48	46660.00 	yes	yes
30	46560.00 	yes	yes
21	46408.85 	yes	yes
32	46400.00 	yes	T2T
24	46360.00 	yes	yes
12	46330.00 	yes	yes
10	46240.00 	yes	yes
21	46200.00 	yes	yes
48	45890.00 	yes	yes
10	45700.00 	yes	yes
6	45540.00 	yes	yes
6	45540.00 	yes	yes
29	45533.00 	yes	yes
27	45470.00 	No_info	yes
32	45200.00 	yes	yes
42	45000.00 	yes	yes
24	45000.00 	yes	yes
65	44944.00 	yes	no
31	44940.00 	yes	yes
29	44755.00 	yes	yes
27	44740.00 	No_info	yes
27	44610.00 	No_info	yes
54	44550.00 	yes	yes
54	44550.00 	yes	yes
48	44500.00 	no	yes
9	44377.47 	yes	yes
16	44010.00 	yes	yes
16	44000.00 	yes	yes
9	44000.00 	yes	yes
46	43931.00 	yes	T2T
16	43867.00 	no	yes
21	43820.00 	yes	yes
32	43790.00 	yes	yes
16	43770.00 	yes	yes
48	43706.10 	yes	yes
48	43559.76 	no	yes
27	43500.00 	yes	yes
48	43410.00 	yes	yes
31	43160.00 	yes	yes
44	43110.00 	yes	yes
12	43104.00 	yes	yes
32	43000.00 	yes	yes
22	42970.00 	yes	yes
32	42880.00 	no	yes
10	42830.00 	yes	yes
16	42799.00 	no	yes
12	42683.00 	yes	yes
31	42630.00 	yes	yes
32	42600.00 	no	yes
18	42598.00 	yes	yes
32	42545.65 	yes	yes
12	42531.00 	yes	yes
36	42400.00 	yes	yes
21	42251.00 	yes	yes
29	42119.73 	yes	yes
16	42050.14 	yes	T2T
50	42000.00 	No_info	yes
