Year	ContigN50
2016	5.84
2020	21.82
2018	5100.00
2017	1.55
2020	74.70
2018	45.00
2019	9500.00
2020	16660.00
2020	945.80
2020	263.90
2014	17.38
2020	505.21
2020	2700.00
2016	12.38
2015	82.80
2018	2267.00
2018	719.80
2018	8.09
2019	1.60
2018	21.00
2020	2100.00
2020	2500.00
2017	1.71
2019	47.00
2016	3.10
2018	163.00
2011	119.80
2018	201.16
2020	4030.00
2019	97.16
2020	347.95
2020	1100.00
2014	52.20
2013	18.70
2012	126.30
2012	25.40
2020	11200.00
2020	19500.00
2018	10.79
2019	2.79
2020	5200.00
2020	1.74
2018	432.00
2016	34.15
2019	43.68
2019	25.20
2019	9.76
2015	6.50
2012	87.01
2020	5260.00
2014	2.20
2020	17310.00
2011	31.43
2020	10900.00
2012	5.10
2020	1740.00
2020	13370.00
2020	4010.00
2020	39.97
2018	3000.00
2017	1500.00
2000-2010	187.10
2019	2100.00
2017	16.57
2019	831.00
2016	20.00
2019	18.07
2020	16.85
2017	4.40
2020	559.40
2020	6.37
2019	16.20
2020	4330.00
2019	49.21
2019	31.04
2019	8.08
2020	1.76
2017	47.63
2013	21.58
2018	277.87
2017	7.40
2020	1990.00
2019	126.81
2020	12.76
2013	251.60
2017	87.00
2013	84.40
2000-2010	19.80
2020	2150.00
2015	21.10
2020	14.18
2019	289.50
2020	20100.00
2018	0.30
2014	2.94
2020	4360.00
2020	66.00
2018	52.00
2020	232.00
2019	56.20
2017	57.38
2018	344.00
2013	3.42
2019	702.00
2019	65.00
2020	60.12
2019	391.60
2017	3420.00
2013	25.59
2019	161.23
2014	3.56
2014	4.21
2019	9.60
2015	10.70
2015	38.00
2015	21.90
2020	5200.00
2016	34.90
2014	41.80
2014	16.40
2014	4.60
2018	19.00
2019	15.20
2019	10900.00
2019	3.46
2020	282.26
2020	4.26
2020	20.30
2020	61.00
2020	11.36
2020	1700.00
2017	102.85
2000-2010	65.90
2019	26.30
2000-2010	45.40
2020	102.40
2020	256.30
2019	642.34
2017	1110.00
2018	547.04
2018	666.31
2020	7700.00
2019	15780.00
2018	72.40
2018	1480.00
2017	26.64
2017	60.51
2000-2010	40.00
2020	778.00
2016	34.00
2014	34.00
2016	79.96
2016	14.95
2021	6596.16
2021	12.76
2021	409.00
2022	3726.47
2023	171.00
2021	39.33
2021	1800.00
2021	900.00
2021	1000.00
2021	2000.00
2021	1500.00
2021	3100.00
2021	2458.00
2021	2800.00
2022	261.00
2022	212.94
2022	350.00
2022	18930.00
2023	37764.00
2023	35701.00
2023	36907.00
2023	36143.00
2023	34760.00
2023	41684.00
2023	36897.00
2023	7020.00
2023	553.04
2021	835.80
2022	250.60
2023	28970.00
2023	9510.00
2022	11330.00
2022	10320.00
2023	514.45
2022	38.97
2021	30.00
2023	1010.00
2021	629.00
2021	2549.00
2021	10657.00
2021	1938.00
2021	2583.00
2021	7021.00
2021	4931.00
2021	1944.00
2021	5486.00
2021	1223.00
2021	1719.00
2021	1071.00
2021	11907.00
2021	15164.00
2021	1867.00
2021	1855.00
2021	6555.00
2021	1023.00
2021	1825.00
2021	8393.00
2021	3284.00
2021	2093.00
2021	1728.00
2021	713.00
2021	1957.00
2021	955.00
2021	9380.00
2021	8984.00
2021	1665.00
2021	1220.00
2021	1280.00
2021	6260.00
2023	3963.00
2022	16.15
2021	1440.00
2021	18200.00
2021	14600.00
2021	17300.00
2021	8600.00
2021	17700.00
2021	10700.00
2021	7400.00
2021	12800.00
2021	23000.00
2021	15200.00
2021	11800.00
2021	5300.00
2021	21500.00
2021	14900.00
2021	6500.00
2021	7600.00
2021	8900.00
2021	9100.00
2021	20900.00
2021	13900.00
2021	12400.00
2021	11800.00
2021	10400.00
2021	15200.00
2021	15100.00
2021	6000.00
2021	17000.00
2021	10400.00
2021	17700.00
2021	9800.00
2021	13500.00
2021	12400.00
2021	3887.00
2021	2369.00
2021	2601.00
2022	10907.64
2022	10737.91
2022	13656.03
2022	23642.62
2022	3050.00
2021	658.00
2022	1200.00
2021	73.43
2021	1750.00
2021	12140.00
2021	3350.00
2022	1430.00
2023	23100.00
2021	82.10
2021	114.30
2023	19800.00
2021	8960.00
2021	22251.00
2022	3340.00
2022	6854.00
2022	2710.00
2022	6538.00
2022	2168.00
2022	2500.00
2023	1390.00
2023	431.00
2023	1928.00
2022	3200.00
2021	30980.00
2022	47670.00
2023	4180.00
2021	222.00
2021	8500.00
2022	5260.00
2022	600.00
2022	161.37
2022	710.75
2023	12500.00
2023	9600.00
2023	9680.00
2022	6400.53
2022	7600.00
2021	3000.00
2022	28200.00
2021	8600.00
2021	31930.00
2021	852.40
2021	7760.00
2021	4070.00
2021	5100.00
2021	12060.00
2021	6630.00
2021	7710.00
2021	6520.00
2021	10380.00
2021	14110.00
2021	18720.00
2021	1890.00
2022	9160.00
2022	1050.00
2022	560.00
2022	1010.00
2022	1780.00
2022	570.07
2022	530.07
2022	8500.00
2022	26150.00
2022	18780.00
2022	32500.00
2022	8232.12
2022	13334.49
2022	9973.50
2022	366.00
2022	300.00
2023	59720.00
2022	4270.00
2022	20600.00
2022	22500.00
2023	1370.00
2023	154.00
2022	549.44
2021	1650.00
2023	23512.00
2021	2890.00
2021	1500.00
2022	1500.00
2022	3800.00
2022	924.00
2022	6830.00
2022	7780.00
2022	10340.00
2022	733.89
2022	8060.00
2022	4620.00
2022	33270.00
2022	23810.00
2022	1960.00
2022	1100.00
2022	1800.00
2022	2100.00
2022	6600.00
2022	3500.00
2022	2800.00
2022	4100.00
2022	9600.00
2022	10600.00
2022	5500.00
2022	10100.00
2022	3000.00
2022	2100.00
2022	4100.00
2022	9790.00
2022	679.50
2022	92.10
2023	22700.00
2023	1710.00
2023	2044.00
2023	10641.00
2023	10317.00
2023	125.00
2023	1835.00
2023	15717.00
2023	2850.00
2023	4364.00
2023	2799.00
2023	2933.00
2023	1846.00
2023	134075.00
2023	12110.00
2021	14.00
2021	11978.00
2021	1100.00
2021	907.00
2021	1950.00
2021	39.37
2021	325.00
2022	24.00
2022	4940.68
2022	5160.00
2023	7570.00
2023	1250.00
2021	135.00
2021	1230.00
2022	9934.90
2022	11395.79
2022	12713.24
2022	12751.94
2022	13835.27
2022	13853.02
2022	14491.66
2022	15094.10
2022	15450.25
2022	15533.27
2022	9953.16
2022	12848.42
2022	13850.89
2022	14028.60
2022	14102.30
2022	14365.35
2022	14588.79
2022	14773.75
2022	14994.82
2022	15499.01
2022	15595.85
2022	1600.19
2022	1607.25
2022	1675.78
2022	2003.10
2022	2081.64
2022	2253.43
2022	2279.01
2022	2391.91
2022	2489.36
2022	2664.82
2022	2779.25
2022	3050.02
2022	3184.05
2022	3432.03
2022	3450.59
2022	3457.30
2022	3545.30
2022	3562.02
2022	3836.21
2022	4102.57
2022	4379.12
2022	4527.36
2022	4827.24
