Year	Size
pan	655.80 
pan	715.64 
pan	623.20 
pan	586.42 
pan	710.00 
pan	904.20 
pan	694.30 
pan	739.50 
pan	720.06 
pan	830.50 
pan	616.40 
pan	855.10 
pan	627.82 
pan	902.50 
pan	610.90 
pan	692.90 
pan	744.78 
pan	652.30 
pan	622.80 
pan	1514.00 
pan	1518.00 
pan	1606.00 
pan	1648.67 
pan	1648.90 
pan	1891.08 
pan	1895.77 
pan	1903.00 
pan	1911.21 
pan	1913.80 
pan	1937.98 
pan	1938.01 
pan	1950.23 
pan	1952.00 
pan	1962.24 
pan	1974.39 
pan	1999.53 
pan	2124.54 
pan	2138.71 
pan	2140.95 
pan	2162.44 
pan	2164.70 
pan	1020.00 
pan	2171.65 
pan	2176.00 
pan	2176.40 
pan	2182.08 
pan	2184.33 
pan	2189.00 
pan	2190.80 
pan	2192.40 
pan	2193.12 
pan	2199.00 
pan	2214.05 
pan	2214.75 
pan	2215.81 
pan	2215.86 
pan	2219.25 
pan	2221.00 
pan	2223.23 
pan	2224.90 
pan	2227.42 
pan	2231.26 
pan	2247.00 
pan	2262.00 
pan	2262.00 
pan	2271.03 
pan	2273.84 
pan	2281.00 
pan	2290.50 
pan	2293.00 
pan	2296.00 
pan	2300.77 
pan	2304.00 
pan	2307.69 
pan	2310.00 
pan	2790.00 
pan	2900.00 
pan	2910.00 
pan	2930.00 
pan	2950.00 
pan	2960.00 
pan	3000.00 
pan	3010.00 
pan	3024.00 
pan	3040.00 
pan	3070.00 
pan	3080.00 
pan	3080.00 
pan	3100.00 
pan	3110.00 
pan	3130.00 
pan	3160.00 
pan	3200.00 
pan	3260.00 
pan	3309.00 
pan	3796.70 
pan	3927.00 
