Year	Size
3y	1360.00 
3y	1354.26 
20y	1350.00 
3y	1349.51 
3y	1341.70 
20y	1340.00 
3y	1339.80 
20y	1338.00 
20y	1337.00 
3y	1334.85 
3y	1330.00 
20y	1328.00 
3y	1326.34 
20y	1325.69 
3y	1324.70 
3y	1324.00 
3y	1317.41 
3y	1315.00 
3y	1310.00 
20y	1310.00 
3y	1300.00 
3y	1300.00 
3y	1300.00 
3y	1295.75 
3y	1290.00 
20y	1290.00 
20y	1290.00 
3y	1288.90 
3y	1280.87 
20y	1280.00 
3y	1280.00 
3y	1280.00 
20y	1280.00 
3y	1278.00 
3y	1273.00 
20y	1271.77 
3y	1270.71 
20y	1270.00 
20y	1270.00 
3y	1266.84 
3y	1263.22 
3y	1260.96 
20y	1260.00 
3y	1260.00 
3y	1260.00 
20y	1260.00 
3y	1259.00 
3y	1258.00 
3y	1250.00 
3y	1250.00 
20y	1249.00 
3y	1246.98 
3y	1245.12 
3y	1245.00 
3y	1241.80 
3y	1241.00 
3y	1240.00 
3y	1240.00 
3y	1230.00 
3y	1230.00 
20y	1227.00 
3y	1222.80 
3y	1220.00 
20y	1220.00 
3y	1219.30 
3y	1218.22 
3y	1211.00 
3y	1210.00 
3y	1210.00 
3y	1210.00 
20y	1200.00 
20y	1200.00 
20y	1200.00 
20y	1200.00 
3y	1200.00 
3y	1200.00 
3y	1200.00 
20y	1200.00 
20y	1200.00 
20y	1198.00 
20y	1196.00 
3y	1196.00 
20y	1190.70 
3y	1190.00 
3y	1190.00 
3y	1190.00 
20y	1190.00 
20y	1185.00 
20y	1183.00 
3y	1182.37 
20y	1178.00 
20y	1176.00 
3y	1170.40 
20y	1170.00 
3y	1170.00 
20y	1170.00 
20y	1169.00 
3y	1161.50 
3y	1160.00 
3y	1158.97 
3y	1155.80 
3y	1154.50 
20y	1150.00 
3y	1145.61 
3y	1145.55 
3y	1140.00 
3y	1139.49 
3y	1134.00 
3y	1130.00 
3y	1130.00 
3y	1130.00 
20y	1128.00 
3y	1126.42 
3y	1125.00 
3y	1125.00 
3y	1122.50 
20y	1120.00 
20y	1120.00 
3y	1120.00 
3y	1120.00 
3y	1120.00 
3y	1120.00 
20y	1119.00 
3y	1110.00 
3y	1110.00 
3y	1110.00 
3y	1110.00 
3y	1110.00 
3y	1110.00 
20y	1107.00 
20y	1100.00 
20y	1100.00 
3y	1096.00 
3y	1091.10 
3y	1087.00 
20y	1086.00 
3y	1080.00 
3y	1080.00 
3y	1080.00 
20y	1078.00 
3y	1074.15 
20y	1070.00 
3y	1070.00 
3y	1070.00 
3y	1067.49 
3y	1066.00 
