Year	Size	Type
20y	1260.00 	scaffold
20y	1260.00 	scaffold
3y	1260.00 	scaffold
20y	1260.00 	scaffold
3y	1245.00 	scaffold
20y	1236.73 	scaffold
20y	1235.00 	scaffold
3y	1233.00 	scaffold
20y	1230.00 	scaffold
20y	1220.00 	scaffold
20y	1220.00 	scaffold
20y	1200.00 	scaffold
20y	1200.00 	scaffold
20y	1200.00 	scaffold
20y	1186.00 	scaffold
3y	1179.00 	scaffold
3y	1168.00 	scaffold
20y	1160.00 	scaffold
3y	1142.70 	scaffold
20y	1140.00 	scaffold
20y	1140.00 	scaffold
20y	1126.36 	scaffold
20y	1100.63 	scaffold
20y	1100.00 	scaffold
20y	1100.00 	scaffold
3y	1100.00 	scaffold
20y	1100.00 	scaffold
3y	1094.94 	scaffold
20y	1092.00 	scaffold
3y	1086.67 	scaffold
20y	1080.00 	scaffold
20y	1074.00 	scaffold
20y	1060.00 	scaffold
20y	1030.00 	scaffold
3y	1021.00 	scaffold
3y	1020.00 	scaffold
20y	1020.00 	scaffold
20y	1000.00 	scaffold
20y	1000.00 	scaffold
20y	1000.00 	scaffold
20y	992.72 	scaffold
3y	991.32 	scaffold
20y	986.50 	scaffold
20y	985.59 	scaffold
3y	985.00 	scaffold
20y	985.00 	scaffold
20y	979.00 	scaffold
20y	975.94 	scaffold
20y	957.00 	scaffold
20y	950.00 	scaffold
20y	949.20 	scaffold
20y	948.00 	scaffold
3y	942.60 	scaffold
20y	924.96 	scaffold
3y	920.80 	scaffold
20y	919.00 	scaffold
20y	916.30 	scaffold
20y	912.00 	scaffold
3y	888.00 	scaffold
3y	885.33 	scaffold
20y	884.95 	scaffold
20y	884.43 	scaffold
20y	857.17 	scaffold
20y	853.60 	scaffold
20y	850.00 	scaffold
3y	839.10 	scaffold
20y	836.55 	scaffold
20y	810.00 	scaffold
20y	805.96 	scaffold
3y	795.00 	scaffold
20y	795.00 	scaffold
20y	790.00 	scaffold
20y	788.00 	scaffold
20y	784.00 	scaffold
20y	764.00 	scaffold
20y	763.70 	scaffold
3y	760.47 	scaffold
3y	757.00 	scaffold
20y	754.00 	scaffold
20y	753.00 	scaffold
20y	752.39 	scaffold
20y	748.67 	scaffold
20y	746.00 	scaffold
3y	734.54 	scaffold
3y	730.00 	scaffold
20y	722.10 	scaffold
3y	720.00 	scaffold
20y	713.60 	scaffold
20y	712.85 	scaffold
20y	712.00 	scaffold
20y	700.00 	scaffold
20y	699.00 	scaffold
20y	698.50 	scaffold
20y	698.00 	scaffold
20y	697.20 	scaffold
20y	697.00 	scaffold
20y	694.00 	scaffold
20y	692.00 	scaffold
20y	676.70 	scaffold
20y	675.00 	scaffold
3y	674.86 	scaffold
20y	665.80 	scaffold
3y	662.61 	scaffold
20y	656.20 	scaffold
20y	654.00 	scaffold
20y	649.80 	scaffold
20y	646.80 	scaffold
20y	640.00 	scaffold
20y	637.83 	scaffold
20y	627.60 	scaffold
20y	623.80 	scaffold
20y	621.00 	scaffold
20y	620.88 	scaffold
20y	607.92 	scaffold
3y	605.44 	scaffold
20y	604.90 	scaffold
20y	600.00 	scaffold
20y	600.00 	scaffold
3y	598.67 	scaffold
3y	594.25 	scaffold
20y	594.00 	scaffold
20y	589.42 	scaffold
20y	574.00 	scaffold
3y	572.00 	scaffold
20y	570.48 	scaffold
3y	569.78 	scaffold
20y	569.00 	scaffold
20y	566.63 	scaffold
20y	566.36 	scaffold
20y	562.47 	scaffold
20y	557.30 	scaffold
3y	553.40 	scaffold
3y	549.44 	scaffold
20y	548.00 	scaffold
20y	543.09 	scaffold
20y	535.32 	scaffold
3y	533.26 	scaffold
20y	527.70 	scaffold
20y	526.00 	scaffold
20y	524.50 	scaffold
20y	524.00 	scaffold
20y	518.00 	scaffold
20y	516.06 	scaffold
20y	511.10 	scaffold
3y	510.00 	scaffold
20y	508.00 	scaffold
20y	504.00 	scaffold
20y	503.00 	scaffold
20y	496.90 	scaffold
20y	496.50 	scaffold
20y	488.00 	scaffold
3y	486.90 	scaffold
20y	482.00 	scaffold
3y	478.00 	scaffold
20y	475.17 	scaffold
20y	474.00 	scaffold
20y	473.80 	scaffold
20y	471.00 	scaffold
3y	468.00 	scaffold
20y	467.90 	scaffold
20y	466.99 	scaffold
20y	465.70 	scaffold
20y	465.16 	scaffold
20y	465.00 	scaffold
20y	464.96 	scaffold
20y	461.00 	scaffold
3y	460.00 	scaffold
20y	459.18 	scaffold
20y	452.03 	scaffold
20y	452.00 	scaffold
20y	451.90 	scaffold
20y	449.00 	scaffold
20y	448.38 	scaffold
20y	445.60 	scaffold
20y	445.00 	scaffold
3y	444.24 	scaffold
20y	443.74 	scaffold
20y	443.00 	scaffold
3y	440.00 	scaffold
20y	433.00 	scaffold
20y	421.00 	scaffold
3y	420.66 	scaffold
3y	419.20 	scaffold
20y	418.06 	scaffold
20y	415.00 	scaffold
20y	413.00 	scaffold
20y	411.07 	scaffold
20y	409.50 	scaffold
20y	407.67 	scaffold
20y	403.79 	scaffold
20y	403.50 	scaffold
20y	403.10 	scaffold
20y	397.60 	scaffold
3y	394.68 	scaffold
20y	392.76 	scaffold
20y	391.00 	scaffold
20y	390.12 	scaffold
20y	386.40 	scaffold
20y	384.00 	scaffold
20y	381.50 	scaffold
3y	375.90 	scaffold
20y	373.00 	scaffold
20y	369.00 	scaffold
20y	368.74 	scaffold
20y	368.25 	scaffold
20y	367.00 	scaffold
20y	363.00 	scaffold
20y	359.10 	scaffold
3y	357.80 	scaffold
3y	357.80 	scaffold
20y	357.58 	scaffold
20y	356.82 	scaffold
20y	353.00 	scaffold
20y	353.00 	scaffold
20y	342.00 	scaffold
20y	335.71 	scaffold
20y	335.00 	scaffold
20y	333.00 	scaffold
20y	331.50 	scaffold
3y	330.63 	scaffold
20y	329.90 	scaffold
20y	328.70 	scaffold
3y	328.65 	scaffold
20y	324.00 	scaffold
3y	324.00 	scaffold
20y	323.85 	scaffold
20y	317.42 	scaffold
3y	310.10 	scaffold
20y	310.00 	scaffold
20y	308.00 	scaffold
20y	303.52 	scaffold
20y	303.00 	scaffold
20y	301.00 	scaffold
20y	295.00 	scaffold
20y	294.80 	scaffold
20y	294.32 	scaffold
20y	288.60 	scaffold
20y	287.61 	scaffold
3y	287.40 	scaffold
20y	287.00 	scaffold
20y	285.50 	scaffold
20y	283.00 	scaffold
3y	280.00 	scaffold
20y	279.30 	scaffold
20y	277.10 	scaffold
20y	275.00 	scaffold
20y	262.52 	scaffold
20y	262.00 	scaffold
3y	259.45 	scaffold
3y	258.14 	scaffold
20y	246.60 	scaffold
3y	245.75 	scaffold
20y	245.00 	scaffold
20y	242.00 	scaffold
20y	238.00 	scaffold
20y	237.60 	scaffold
20y	233.00 	scaffold
20y	232.80 	scaffold
20y	228.00 	scaffold
20y	223.00 	scaffold
20y	219.60 	scaffold
20y	218.83 	scaffold
20y	217.00 	scaffold
20y	216.80 	scaffold
20y	214.00 	scaffold
20y	212.36 	scaffold
3y	209.19 	scaffold
20y	204.00 	scaffold
20y	201.00 	scaffold
3y	200.00 	scaffold
20y	200.00 	scaffold
20y	199.00 	scaffold
3y	195.84 	scaffold
20y	192.00 	scaffold
20y	192.00 	scaffold
20y	191.00 	scaffold
20y	190.00 	scaffold
20y	181.56 	scaffold
20y	180.00 	scaffold
20y	180.00 	scaffold
20y	176.70 	scaffold
20y	173.00 	scaffold
20y	171.11 	scaffold
20y	170.00 	scaffold
20y	166.00 	scaffold
3y	164.10 	scaffold
20y	164.00 	scaffold
20y	163.00 	scaffold
20y	158.00 	scaffold
20y	157.94 	scaffold
3y	155.30 	scaffold
20y	154.00 	scaffold
20y	153.00 	scaffold
20y	152.00 	scaffold
3y	150.00 	scaffold
3y	149.76 	scaffold
20y	149.00 	scaffold
20y	146.00 	scaffold
20y	145.90 	scaffold
3y	145.43 	scaffold
3y	145.00 	scaffold
20y	145.00 	scaffold
20y	145.00 	scaffold
20y	145.00 	scaffold
20y	145.00 	scaffold
20y	144.70 	scaffold
20y	140.80 	scaffold
20y	140.00 	scaffold
20y	138.17 	scaffold
20y	137.86 	scaffold
20y	135.00 	scaffold
20y	135.00 	scaffold
20y	134.90 	scaffold
20y	134.10 	scaffold
20y	129.70 	scaffold
20y	128.74 	scaffold
20y	126.40 	scaffold
20y	125.90 	scaffold
20y	122.00 	scaffold
3y	119.90 	scaffold
20y	119.00 	scaffold
20y	118.00 	scaffold
20y	118.00 	scaffold
20y	116.00 	scaffold
20y	114.16 	scaffold
20y	113.22 	scaffold
20y	111.00 	scaffold
20y	111.00 	scaffold
3y	111.00 	scaffold
20y	110.43 	scaffold
20y	109.50 	scaffold
20y	109.00 	scaffold
20y	109.00 	scaffold
20y	108.71 	scaffold
3y	108.00 	scaffold
20y	107.00 	scaffold
20y	107.00 	scaffold
20y	105.70 	scaffold
20y	105.39 	scaffold
20y	104.86 	scaffold
20y	104.00 	scaffold
20y	101.07 	scaffold
20y	100.21 	scaffold
20y	98.10 	scaffold
20y	97.64 	scaffold
20y	97.00 	scaffold
20y	96.74 	scaffold
20y	96.00 	scaffold
20y	96.00 	scaffold
20y	94.23 	scaffold
3y	93.03 	scaffold
20y	90.83 	scaffold
3y	90.00 	scaffold
20y	89.78 	scaffold
20y	89.60 	scaffold
20y	88.11 	scaffold
20y	87.18 	scaffold
20y	86.00 	scaffold
20y	84.90 	scaffold
3y	84.70 	scaffold
20y	84.60 	scaffold
20y	84.11 	scaffold
20y	82.80 	scaffold
20y	82.70 	scaffold
20y	82.00 	scaffold
20y	80.95 	scaffold
20y	80.69 	scaffold
3y	78.11 	scaffold
3y	78.00 	scaffold
3y	77.90 	scaffold
20y	77.78 	scaffold
3y	77.56 	scaffold
20y	77.00 	scaffold
20y	77.00 	scaffold
20y	76.50 	scaffold
20y	76.00 	scaffold
20y	75.73 	scaffold
3y	74.00 	scaffold
3y	73.40 	scaffold
20y	71.55 	scaffold
20y	70.63 	scaffold
20y	70.10 	scaffold
20y	70.00 	scaffold
20y	67.20 	scaffold
20y	67.17 	scaffold
20y	67.00 	scaffold
20y	66.92 	scaffold
20y	64.50 	scaffold
20y	64.00 	scaffold
3y	63.50 	scaffold
3y	63.03 	scaffold
20y	63.00 	scaffold
20y	62.32 	scaffold
20y	62.00 	scaffold
20y	61.80 	scaffold
20y	61.50 	scaffold
20y	60.25 	scaffold
20y	60.00 	scaffold
20y	59.34 	scaffold
20y	59.00 	scaffold
3y	58.20 	scaffold
20y	58.20 	scaffold
20y	57.60 	scaffold
20y	56.81 	scaffold
20y	56.39 	scaffold
20y	56.30 	scaffold
20y	54.54 	scaffold
20y	53.33 	scaffold
20y	52.80 	scaffold
20y	51.02 	scaffold
20y	50.29 	scaffold
20y	49.92 	scaffold
3y	48.90 	scaffold
20y	48.55 	scaffold
3y	48.09 	scaffold
3y	47.00 	scaffold
20y	46.98 	scaffold
20y	46.25 	scaffold
20y	45.80 	scaffold
3y	45.47 	scaffold
20y	44.73 	scaffold
20y	44.70 	scaffold
20y	44.49 	scaffold
20y	44.30 	scaffold
20y	44.30 	scaffold
20y	43.00 	scaffold
20y	42.60 	scaffold
20y	42.60 	scaffold
20y	42.50 	scaffold
20y	42.28 	scaffold
20y	37.00 	scaffold
20y	36.73 	scaffold
20y	36.30 	scaffold
20y	35.92 	scaffold
3y	35.35 	scaffold
20y	35.10 	scaffold
20y	35.00 	scaffold
20y	34.03 	scaffold
20y	33.60 	scaffold
20y	33.56 	scaffold
20y	31.50 	scaffold
20y	31.15 	scaffold
20y	31.10 	scaffold
20y	30.98 	scaffold
20y	30.48 	scaffold
20y	30.05 	scaffold
20y	28.53 	scaffold
20y	27.80 	scaffold
20y	27.63 	scaffold
20y	27.57 	scaffold
20y	27.22 	scaffold
20y	27.10 	scaffold
20y	27.00 	scaffold
20y	26.20 	scaffold
20y	26.19 	scaffold
20y	25.63 	scaffold
20y	25.20 	scaffold
20y	25.11 	scaffold
20y	24.76 	scaffold
20y	24.60 	scaffold
20y	23.73 	scaffold
3y	23.61 	scaffold
20y	23.60 	scaffold
20y	23.28 	scaffold
3y	23.00 	scaffold
20y	22.30 	scaffold
20y	21.10 	scaffold
20y	20.62 	scaffold
20y	20.36 	scaffold
20y	20.26 	scaffold
3y	19.70 	scaffold
20y	19.00 	scaffold
20y	18.87 	scaffold
20y	18.02 	scaffold
20y	18.00 	scaffold
20y	17.91 	scaffold
20y	17.90 	scaffold
3y	16.59 	scaffold
20y	16.20 	scaffold
20y	16.18 	scaffold
20y	16.00 	scaffold
20y	15.66 	scaffold
3y	15.60 	scaffold
20y	15.00 	scaffold
20y	14.05 	scaffold
20y	13.81 	scaffold
20y	13.70 	scaffold
20y	13.20 	scaffold
20y	12.98 	scaffold
20y	12.81 	scaffold
20y	12.54 	scaffold
20y	12.10 	scaffold
20y	11.76 	scaffold
20y	11.40 	scaffold
20y	11.14 	scaffold
20y	11.13 	scaffold
3y	10.70 	scaffold
20y	10.70 	scaffold
20y	10.46 	scaffold
20y	10.27 	scaffold
20y	10.00 	scaffold
20y	9.65 	scaffold
20y	9.52 	scaffold
20y	9.45 	scaffold
20y	9.44 	scaffold
20y	9.41 	scaffold
20y	9.30 	scaffold
20y	8.75 	scaffold
20y	8.70 	scaffold
20y	7.98 	scaffold
20y	7.84 	scaffold
20y	7.55 	scaffold
20y	7.13 	scaffold
20y	6.40 	scaffold
20y	6.40 	scaffold
20y	6.07 	scaffold
20y	5.91 	scaffold
20y	5.70 	scaffold
20y	5.41 	scaffold
20y	5.15 	scaffold
20y	5.14 	scaffold
20y	4.90 	scaffold
20y	4.83 	scaffold
20y	4.75 	scaffold
20y	4.75 	scaffold
20y	4.75 	scaffold
20y	4.59 	scaffold
20y	4.47 	scaffold
20y	4.40 	scaffold
20y	4.34 	scaffold
20y	4.34 	scaffold
20y	4.24 	scaffold
20y	4.10 	scaffold
20y	3.55 	scaffold
20y	3.42 	scaffold
20y	3.35 	scaffold
20y	3.22 	scaffold
20y	3.20 	scaffold
20y	2.97 	scaffold
20y	2.92 	scaffold
20y	2.80 	scaffold
20y	2.57 	scaffold
20y	2.46 	scaffold
20y	2.32 	scaffold
20y	1.98 	scaffold
20y	1.94 	scaffold
20y	1.11 	scaffold
20y	1.08 	scaffold
20y	1.04 	scaffold
20y	0.90 	scaffold
20y	0.48 	scaffold
20y	0.32 	scaffold
pan	17300.00 	scaffold
pan	24670.00 	scaffold
pan	25490.00 	scaffold
pan	26900.00 	scaffold
pan	26360.00 	scaffold
pan	23300.00 	scaffold
pan	24620.00 	scaffold
pan	26110.00 	scaffold
pan	25390.00 	scaffold
pan	26180.00 	scaffold
pan	26620.00 	scaffold
pan	27380.00 	scaffold
pan	26430.00 	scaffold
pan	27160.00 	scaffold
pan	26530.00 	scaffold
pan	25760.00 	scaffold
pan	26740.00 	scaffold
pan	27110.00 	scaffold
pan	26100.00 	scaffold
pan	26230.00 	scaffold
pan	27070.00 	scaffold
pan	26960.00 	scaffold
pan	27350.00 	scaffold
pan	26960.00 	scaffold
pan	27080.00 	scaffold
pan	27080.00 	scaffold
pan	27120.00 	scaffold
pan	25530.00 	scaffold
pan	26790.00 	scaffold
pan	27060.00 	scaffold
pan	27560.00 	scaffold
pan	27290.00 	scaffold
pan	27890.00 	scaffold
pan	30200.00 	scaffold
pan	46700.00 	scaffold
pan	337350.00 	scaffold
pan	341530.00 	scaffold
pan	347960.00 	scaffold
pan	353960.00 	scaffold
pan	1591.71 	scaffold
pan	367240.00 	scaffold
pan	368160.00 	scaffold
pan	3827.70 	scaffold
pan	371030.00 	scaffold
pan	28911.38 	scaffold
pan	29154.92 	scaffold
pan	30366.16 	scaffold
pan	29966.81 	scaffold
pan	29985.77 	scaffold
pan	35383.89 	scaffold
pan	378040.00 	scaffold
pan	378300.00 	scaffold
pan	378610.00 	scaffold
pan	30663.62 	scaffold
pan	29644.36 	scaffold
pan	29831.09 	scaffold
pan	30612.04 	scaffold
pan	31337.52 	scaffold
pan	30925.11 	scaffold
pan	30320.16 	scaffold
pan	30496.73 	scaffold
pan	30540.39 	scaffold
pan	36054.14 	scaffold
pan	30539.02 	scaffold
pan	30508.67 	scaffold
pan	29353.80 	scaffold
pan	31043.76 	scaffold
pan	32275.81 	scaffold
pan	30510.49 	scaffold
pan	30357.40 	scaffold
pan	30944.89 	scaffold
pan	30306.56 	scaffold
pan	384560.00 	scaffold
pan	30449.52 	scaffold
pan	32298.03 	scaffold
pan	31053.48 	scaffold
pan	35183.32 	scaffold
pan	29887.91 	scaffold
pan	30712.22 	scaffold
pan	29938.09 	scaffold
pan	30142.67 	scaffold
pan	30724.06 	scaffold
pan	30964.77 	scaffold
pan	385710.00 	scaffold
pan	30874.65 	scaffold
pan	388820.00 	scaffold
pan	36020.64 	scaffold
pan	32223.71 	scaffold
pan	32902.95 	scaffold
pan	31758.49 	scaffold
pan	32597.06 	scaffold
pan	32312.47 	scaffold
pan	31539.39 	scaffold
pan	32002.14 	scaffold
pan	32228.46 	scaffold
pan	32080.38 	scaffold
pan	32563.22 	scaffold
pan	32328.11 	scaffold
pan	32215.70 	scaffold
pan	31542.37 	scaffold
pan	37099.76 	scaffold
pan	31711.44 	scaffold
pan	32272.68 	scaffold
pan	32200.21 	scaffold
pan	36075.78 	scaffold
pan	31970.73 	scaffold
pan	30905.01 	scaffold
pan	32836.16 	scaffold
pan	31563.39 	scaffold
pan	32859.75 	scaffold
pan	31515.90 	scaffold
pan	31332.59 	scaffold
pan	35207.32 	scaffold
pan	32410.86 	scaffold
pan	30371.10 	scaffold
pan	32751.65 	scaffold
pan	31103.32 	scaffold
pan	33901.23 	scaffold
pan	33344.47 	scaffold
pan	33730.98 	scaffold
pan	33378.85 	scaffold
pan	30440.97 	scaffold
pan	37030.49 	scaffold
pan	30953.48 	scaffold
pan	33092.16 	scaffold
pan	31133.98 	scaffold
pan	37484.08 	scaffold
pan	33267.32 	scaffold
pan	422710.00 	scaffold
pan	9210.00 	scaffold
pan	1130.00 	scaffold
pan	434550.00 	scaffold
pan	9220.00 	scaffold
pan	9220.00 	scaffold
pan	1130.00 	scaffold
pan	4080.00 	scaffold
pan	9210.00 	scaffold
pan	466240.00 	scaffold
pan	153.29 	scaffold
pan	35001.61 	scaffold
pan	4080.00 	scaffold
pan	1740.00 	scaffold
pan	1740.00 	scaffold
pan	38131.77 	scaffold
pan	37251.37 	scaffold
pan	35210.06 	scaffold
pan	16840.00 	scaffold
pan	35680.00 	scaffold
pan	23920.00 	scaffold
pan	37699.57 	scaffold
pan	2450.00 	scaffold
pan	2450.00 	scaffold
pan	2680.00 	scaffold
pan	327.82 	scaffold
pan	2680.00 	scaffold
pan	37056.84 	scaffold
pan	36862.03 	scaffold
pan	38218.02 	scaffold
pan	418.75 	scaffold
pan	356.17 	scaffold
pan	281.85 	scaffold
pan	396.10 	scaffold
pan	308.97 	scaffold
pan	38409.08 	scaffold
pan	489.60 	scaffold
pan	39320.75 	scaffold
pan	173.71 	scaffold
pan	194.00 	scaffold
pan	332.63 	scaffold
pan	3898.80 	scaffold
pan	32800.00 	scaffold
pan	41509.38 	scaffold
pan	64965.82 	scaffold
pan	22318.55 	scaffold
pan	16862.54 	scaffold
pan	71609.52 	scaffold
pan	30966.32 	scaffold
pan	28096.27 	scaffold
pan	43559.76 	scaffold
pan	67085.10 	scaffold
pan	66957.28 	scaffold
pan	67567.56 	scaffold
pan	66419.20 	scaffold
pan	67116.07 	scaffold
pan	67668.23 	scaffold
pan	67412.56 	scaffold
pan	67954.88 	scaffold
pan	68029.35 	scaffold
pan	66777.43 	scaffold
pan	66688.22 	scaffold
pan	67580.08 	scaffold
pan	68251.07 	scaffold
pan	68346.91 	scaffold
pan	67928.27 	scaffold
pan	67143.40 	scaffold
pan	68221.06 	scaffold
pan	67522.66 	scaffold
pan	68291.38 	scaffold
pan	67970.06 	scaffold
pan	67196.56 	scaffold
pan	67608.58 	scaffold
pan	67305.32 	scaffold
pan	68447.10 	scaffold
pan	68240.39 	scaffold
pan	68145.91 	scaffold
pan	68997.46 	scaffold
pan	68972.28 	scaffold
pan	69616.16 	scaffold
pan	69321.05 	scaffold
pan	69834.49 	scaffold
pan	68504.44 	scaffold
pan	24753.00 	scaffold
pan	24992.00 	scaffold
pan	25609.00 	scaffold
pan	49000.00 	scaffold
pan	23112.00 	scaffold
pan	49000.00 	scaffold
pan	24432.00 	scaffold
pan	48770.00 	scaffold
pan	50070.00 	scaffold
pan	49510.00 	scaffold
pan	50280.00 	scaffold
pan	49800.00 	scaffold
pan	50570.00 	scaffold
pan	50700.00 	scaffold
pan	50000.00 	scaffold
pan	50490.00 	scaffold
pan	25723.00 	scaffold
pan	24397.00 	scaffold
pan	23787.00 	scaffold
pan	25310.00 	scaffold
pan	25091.00 	scaffold
pan	28160.00 	scaffold
pan	95944.51 	scaffold
pan	98351.61 	scaffold
pan	68000.00 	scaffold
pan	71000.00 	scaffold
pan	115821.39 	scaffold
pan	7.43 	scaffold
pan	4.58 	scaffold
pan	3.95 	scaffold
pan	4.36 	scaffold
pan	10.03 	scaffold
pan	6.18 	scaffold
pan	16.67 	scaffold
pan	5.68 	scaffold
pan	26.69 	scaffold
pan	4.30 	scaffold
pan	7.16 	scaffold
pan	30.14 	scaffold
pan	5.61 	scaffold
pan	21.03 	scaffold
pan	18.66 	scaffold
pan	7.69 	scaffold
pan	50.55 	scaffold
pan	5.55 	scaffold
pan	124037.46 	scaffold
pan	123512.23 	scaffold
pan	132272.51 	scaffold
pan	278460.00 	scaffold
pan	276630.00 	scaffold
pan	156041.81 	scaffold
pan	257500.00 	scaffold
pan	266840.00 	scaffold
pan	261450.00 	scaffold
pan	193800.00 	scaffold
pan	279170.00 	scaffold
pan	50000.00 	scaffold
pan	263660.00 	scaffold
pan	286980.00 	scaffold
pan	284640.00 	scaffold
pan	135800.00 	scaffold
pan	147880.00 	scaffold
pan	135870.00 	scaffold
pan	129920.00 	scaffold
pan	140100.00 	scaffold
pan	516.10 	scaffold
pan	115380.00 	scaffold
pan	14606.00 	scaffold
pan	105600.00 	scaffold
pan	160850.00 	scaffold
pan	111380.00 	scaffold
pan	15340.00 	scaffold
pan	98850.00 	scaffold
pan	105370.00 	scaffold
pan	137680.00 	scaffold
pan	7153.00 	scaffold
pan	98450.00 	scaffold
pan	101010.00 	scaffold
pan	99160.00 	scaffold
pan	107930.00 	scaffold
pan	102200.00 	scaffold
pan	13103.00 	scaffold
pan	111100.00 	scaffold
pan	107570.00 	scaffold
pan	98950.00 	scaffold
pan	99840.00 	scaffold
pan	14081.00 	scaffold
pan	6226.00 	scaffold
pan	5165.00 	scaffold
pan	100580.00 	scaffold
pan	110070.00 	scaffold
pan	6520.00 	scaffold
pan	100660.00 	scaffold
pan	11915.00 	scaffold
pan	12679.00 	scaffold
pan	108070.00 	scaffold
pan	4358.00 	scaffold
pan	92050.00 	scaffold
pan	9748.00 	scaffold
pan	259700.00 	scaffold
pan	283000.00 	scaffold
pan	312200.00 	scaffold
pan	12.37 	contig
pan	10.18 	contig
pan	15.62 	contig
pan	18.63 	contig
pan	12.50 	contig
pan	24.74 	contig
pan	18.25 	contig
pan	23.59 	contig
pan	23.61 	contig
pan	30.36 	contig
pan	23.38 	contig
pan	29.52 	contig
pan	20.71 	contig
pan	17.77 	contig
pan	56.71 	contig
pan	1800.00 	contig
pan	155.50 	contig
pan	7820.00 	contig
pan	6940.00 	contig
pan	6720.00 	contig
pan	6960.00 	contig
pan	6270.00 	contig
pan	7970.00 	contig
pan	14270.00 	contig
pan	9020.00 	contig
pan	7840.00 	contig
pan	11950.00 	contig
pan	13220.00 	contig
pan	6280.00 	contig
pan	10720.00 	contig
pan	9610.00 	contig
pan	12320.00 	contig
pan	9870.00 	contig
pan	10380.00 	contig
pan	8220.00 	contig
pan	13730.00 	contig
pan	9060.00 	contig
pan	7540.00 	contig
pan	10610.00 	contig
pan	20300.00 	contig
pan	17560.00 	contig
pan	14610.00 	contig
pan	8660.00 	contig
pan	7520.00 	contig
pan	5910.00 	contig
pan	12410.00 	contig
pan	7350.00 	contig
pan	9930.00 	contig
pan	8080.00 	contig
pan	1600.00 	contig
pan	4400.00 	contig
pan	1700.00 	contig
pan	4300.00 	contig
pan	5000.00 	contig
pan	1545.00 	contig
pan	1224.00 	contig
pan	1096.00 	contig
pan	2021.00 	contig
pan	1254.00 	contig
pan	2734.00 	contig
pan	1084.00 	contig
pan	1215.00 	contig
pan	1211.00 	contig
pan	1281.00 	contig
pan	1376.00 	contig
pan	1207.00 	contig
pan	1276.00 	contig
pan	1182.00 	contig
pan	1334.00 	contig
pan	1092.00 	contig
pan	1218.00 	contig
pan	1643.00 	contig
pan	1954.00 	contig
pan	1478.00 	contig
pan	1072.00 	contig
pan	1261.00 	contig
pan	1680.00 	contig
pan	1296.00 	contig
pan	1307.00 	contig
pan	2292.00 	contig
pan	3037.00 	contig
pan	1952.00 	contig
pan	1062.00 	contig
pan	1210.00 	contig
pan	1342.00 	contig
pan	1064.00 	contig
pan	2312.00 	contig
pan	1531.00 	contig
pan	1490.00 	contig
pan	1621.00 	contig
pan	1091.00 	contig
pan	1249.00 	contig
pan	1401.00 	contig
pan	1307.00 	contig
pan	1998.00 	contig
pan	1137.00 	contig
pan	1692.00 	contig
pan	1544.00 	contig
pan	1228.00 	contig
pan	2269.00 	contig
pan	2759.00 	contig
pan	1409.00 	contig
pan	2304.00 	contig
pan	983.00 	contig
pan	1171.00 	contig
pan	1243.00 	contig
pan	1686.00 	contig
pan	1334.00 	contig
pan	1254.00 	contig
pan	1982.00 	contig
pan	1807.00 	contig
pan	1120.00 	contig
pan	89000.00 	contig
pan	20949.00 	contig
pan	1545.00 	contig
pan	1555.00 	contig
pan	2040.00 	contig
pan	3672.00 	contig
pan	3144.00 	contig
pan	294.00 	contig
pan	1100.00 	contig
pan	11200.00 	contig
pan	3800.00 	contig
pan	2100.00 	contig
pan	2100.00 	contig
pan	4300.00 	contig
pan	3900.00 	contig
pan	2100.00 	contig
pan	5300.00 	contig
pan	4700.00 	contig
pan	16800.00 	contig
pan	4200.00 	contig
pan	12700.00 	contig
pan	11395.79 	contig
pan	14994.82 	contig
pan	12713.24 	contig
pan	1340.00 	contig
pan	14491.66 	contig
pan	15499.01 	contig
pan	14773.75 	contig
pan	9953.16 	contig
pan	15533.27 	contig
pan	12751.94 	contig
pan	15450.25 	contig
pan	689.00 	contig
pan	9934.90 	contig
pan	14588.79 	contig
pan	12848.42 	contig
pan	14102.30 	contig
pan	3200.00 	contig
pan	13853.02 	contig
pan	14600.00 	contig
pan	14028.60 	contig
pan	15094.10 	contig
pan	13850.89 	contig
pan	15595.85 	contig
pan	14365.35 	contig
pan	13835.27 	contig
pan	324.00 	contig
pan	479.00 	contig
pan	13088.96 	contig
pan	1600.00 	contig
pan	2600.00 	contig
pan	1900.00 	contig
pan	1940.00 	contig
pan	4290.00 	contig
pan	10829.75 	contig
pan	13810.00 	contig
pan	6750.00 	contig
pan	9110.00 	contig
pan	11967.03 	contig
pan	11240.00 	contig
pan	9858.00 	contig
pan	10652.50 	contig
pan	5780.00 	contig
pan	11890.00 	contig
pan	15490.00 	contig
pan	6040.00 	contig
pan	44.90 	contig
pan	6875.40 	contig
pan	5300.00 	contig
pan	7380.00 	contig
pan	12130.00 	contig
pan	13391.66 	contig
pan	4900.00 	contig
pan	10690.00 	contig
pan	14878.00 	contig
pan	27583.54 	contig
pan	7703.64 	contig
pan	11791.98 	contig
pan	6880.00 	contig
pan	9628.61 	contig
pan	10680.00 	contig
pan	12550.00 	contig
pan	14152.77 	contig
pan	9318.91 	contig
pan	7920.00 	contig
pan	7746.72 	contig
pan	11462.55 	contig
pan	4949.17 	contig
pan	5450.00 	contig
pan	12630.00 	contig
pan	11621.55 	contig
