Year	ContigN50	Type
3y	14102.30 	pan-genome
3y	14100.00 	haplotype
3y	14065.94 	pan-genome
3y	14062.63 	pan-genome
3y	14051.40 	pan-genome
3y	14028.60 	pan-genome
3y	14020.64 	pan-genome
3y	14020.26 	pan-genome
3y	14016.59 	pan-genome
3y	14008.27 	pan-genome
3y	14004.75 	pan-genome
3y	13994.93 	pan-genome
3y	13932.53 	pan-genome
3y	13923.17 	pan-genome
3y	13908.30 	pan-genome
3y	13906.52 	pan-genome
3y	13900.00 	pan-genome
3y	13853.02 	pan-genome
3y	13850.89 	pan-genome
3y	13835.27 	pan-genome
3y	13810.00 	pan-genome
3y	13776.32 	pan-genome
3y	13764.53 	pan-genome
3y	13752.04 	pan-genome
3y	13730.00 	pan-genome
3y	13725.73 	pan-genome
3y	13721.44 	pan-genome
3y	13707.72 	pan-genome
3y	13655.40 	pan-genome
3y	13620.00 	pan-genome
3y	13619.36 	pan-genome
3y	13588.74 	pan-genome
3y	13526.29 	pan-genome
3y	13517.66 	pan-genome
3y	13500.00 	pan-genome
3y	13483.46 	pan-genome
3y	13470.26 	pan-genome
3y	13391.66 	pan-genome
3y	13351.67 	pan-genome
3y	13305.67 	pan-genome
3y	13220.00 	pan-genome
3y	13110.39 	pan-genome
3y	13097.86 	pan-genome
3y	13088.96 	pan-genome
3y	13072.44 	pan-genome
3y	13069.22 	pan-genome
3y	12982.60 	pan-genome
3y	12944.28 	pan-genome
3y	12904.19 	pan-genome
3y	12883.95 	pan-genome
3y	12848.42 	pan-genome
3y	12800.00 	pan-genome
3y	12789.31 	pan-genome
3y	12781.98 	pan-genome
3y	12751.94 	pan-genome
3y	12750.61 	pan-genome
3y	12713.24 	pan-genome
3y	12700.00 	pan-genome
3y	12630.00 	pan-genome
3y	12583.18 	pan-genome
3y	12562.34 	pan-genome
3y	12550.00 	pan-genome
3y	12545.22 	pan-genome
3y	12524.43 	pan-genome
3y	12524.21 	pan-genome
3y	12520.39 	pan-genome
3y	12500.00 	pan-genome
3y	12500.00 	haplotype
3y	12491.44 	pan-genome
3y	12445.53 	pan-genome
3y	12419.45 	pan-genome
3y	12410.00 	pan-genome
3y	12400.00 	pan-genome
3y	12400.00 	pan-genome
3y	12384.00 	haplotype
3y	12367.63 	pan-genome
3y	12342.35 	pan-genome
3y	12333.94 	pan-genome
3y	12326.27 	pan-genome
3y	12320.00 	pan-genome
3y	12301.55 	pan-genome
3y	12160.53 	pan-genome
3y	12153.55 	pan-genome
3y	12130.00 	pan-genome
3y	12060.00 	pan-genome
3y	11967.03 	pan-genome
3y	11950.00 	pan-genome
3y	11934.73 	pan-genome
3y	11890.00 	pan-genome
3y	11886.91 	pan-genome
3y	11866.82 	pan-genome
3y	11860.00 	T2T
3y	11860.00 	haplotype
3y	11800.00 	haplotype
3y	11800.00 	pan-genome
3y	11800.00 	pan-genome
3y	11791.98 	pan-genome
3y	11734.25 	pan-genome
3y	11719.18 	pan-genome
3y	11715.14 	pan-genome
3y	11710.19 	pan-genome
3y	11691.01 	pan-genome
3y	11675.16 	pan-genome
3y	11641.69 	pan-genome
3y	11623.09 	pan-genome
3y	11621.55 	pan-genome
3y	11614.50 	pan-genome
3y	11600.00 	haplotype
3y	11544.09 	pan-genome
3y	11542.00 	pan-genome
3y	11533.40 	pan-genome
3y	11532.97 	pan-genome
3y	11520.88 	pan-genome
3y	11520.75 	pan-genome
3y	11462.55 	pan-genome
3y	11436.83 	pan-genome
3y	11428.25 	pan-genome
3y	11426.60 	pan-genome
3y	11408.88 	pan-genome
3y	11395.79 	pan-genome
3y	11347.80 	pan-genome
3y	11339.10 	pan-genome
3y	11332.82 	pan-genome
3y	11300.00 	haplotype
3y	11300.00 	haplotype
3y	11277.60 	pan-genome
3y	11273.30 	pan-genome
3y	11240.00 	pan-genome
3y	11235.56 	pan-genome
3y	11231.29 	pan-genome
3y	11208.63 	pan-genome
3y	11203.10 	pan-genome
20y	11200.00 	pan-genome
3y	11200.00 	pan-genome
3y	11166.83 	pan-genome
3y	11160.28 	pan-genome
3y	11156.34 	pan-genome
3y	11154.63 	pan-genome
3y	11145.19 	pan-genome
3y	11134.56 	pan-genome
3y	11061.48 	pan-genome
3y	11038.00 	haplotype
3y	10961.80 	pan-genome
3y	10950.01 	pan-genome
3y	10898.64 	pan-genome
3y	10865.96 	pan-genome
3y	10829.75 	pan-genome
3y	10820.86 	pan-genome
3y	10816.59 	pan-genome
3y	10775.90 	pan-genome
3y	10764.42 	pan-genome
3y	10738.00 	haplotype
3y	10720.00 	pan-genome
3y	10700.00 	pan-genome
3y	10690.00 	pan-genome
3y	10680.00 	pan-genome
3y	10673.72 	pan-genome
3y	10652.50 	pan-genome
3y	10645.84 	pan-genome
3y	10641.00 	pan-genome
3y	10619.45 	pan-genome
3y	10610.00 	pan-genome
3y	10604.95 	pan-genome
3y	10600.00 	haplotype
