Genomesize	ContigN50	Platform
220.00	5600.00	Other_TGS
401.00	5520.00	Other_TGS
1125.00	5500.00	Other_TGS
666.00	5500.00	Other_TGS
546.00	5500.00	Other_TGS
542.00	5500.00	Other_TGS
323.60	5500.00	Other_TGS
387.00	5486.00	Other_TGS
740.20	5470.00	Other_TGS
2994.24	5400.00	Other_TGS
408.37	5400.00	Other_TGS
269.00	5391.62	Other_TGS
2440.00	5326.00	Other_TGS
1155.80	5300.00	Other_TGS
2541.00	5290.00	Other_TGS
4520.00	5280.00	HiFi
1510.00	5280.00	Other_TGS
1170.00	5260.00	Other_TGS
495.00	5260.00	Other_TGS
491.81	5260.00	Other_TGS
592.10	5221.82	Other_TGS
592.00	5220.00	Other_TGS
887.00	5200.00	Other_TGS
499.00	5200.00	NGS
257.20	5170.00	Other_TGS
641.00	5160.00	Other_TGS
7255.90	5157.00	Other_TGS
284.00	5140.00	Other_TGS
720.00	5124.00	Other_TGS
807.01	5100.00	Other_TGS
290.00	5100.00	NGS
1002.88	5090.00	Other_TGS
608.95	5050.00	Other_TGS
2290.00	5020.00	Other_TGS
760.10	5020.00	Other_TGS
669.00	5000.00	Other_TGS
549.70	4970.00	Other_TGS
2589.7 	4950.58	Other_TGS
1139.49	4940.68	HiFi
394.00	4931.00	Other_TGS
1495.10	4900.00	Other_TGS
943.00	4900.00	Other_TGS
603.00	4900.00	Other_TGS
1400.00	4870.00	Other_TGS
2080.00	4800.00	Other_TGS
1020.00	4800.00	Other_TGS
589.00	4770.00	Other_TGS
1110.00	4750.00	Other_TGS
725.20	4750.00	Other_TGS
281.00	4700.00	Other_TGS
404.00	4690.00	Other_TGS
1530.00	4680.00	Other_TGS
1766.07	4620.00	Other_TGS
2964.14	4590.00	Other_TGS
326.40	4550.00	Other_TGS
276.20	4545.00	Other_TGS
480.00	4500.00	Other_TGS
480.00	4500.00	Other_TGS
843.51	4490.56	Other_TGS
320.31	4490.00	Other_TGS
547.38	4480.00	Other_TGS
520.64	4480.00	Other_TGS
656.69	4400.00	Other_TGS
649.96	4400.00	Other_TGS
680.60	4370.00	Other_TGS
